name,description,price,category,stock,units_sold,margin_percent,is_premium,upsell_for,cross_sell_with,image_url
Basic White T-Shirt,Comfortable everyday cotton t-shirt in classic white. Breathable fabric and relaxed fit.,399,tshirts,50,120,40,false,,Blue Slim Jeans;White Sneakers,https://images.unsplash.com/photo-1665172653765-a685be8bd8b0?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjR8fEJhc2ljJTIwV2hpdGUlMjBUZWV8ZW58MHx8MHx8fDA%3D
Premium White T-Shirt,Egyptian cotton t-shirt with reinforced stitching. Softer finish and lasts 3x longer.,699,tshirts,30,45,35,true,Basic White T-Shirt,Blue Slim Jeans;White Sneakers,https://plus.unsplash.com/premium_photo-1692574097436-21d69a969cc3?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OTN8fFByZW1pdW0lMjBXaGl0ZSUyMFRlZXxlbnwwfHwwfHx8MA%3D%3D
Classic Black T-Shirt,Essential crew neck black t-shirt. Pre-shrunk cotton with double-stitched hem.,449,tshirts,55,110,42,false,,Cargo Joggers;White Sneakers,https://images.unsplash.com/photo-1647058551618-3c836c6045d2?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Black Hoodie,Warm fleece-lined pullover hoodie. Ribbed cuffs and adjustable drawstring hood.,899,hoodies,40,85,38,false,,Blue Slim Jeans;White Sneakers,https://images.unsplash.com/photo-1633292750937-120a94f5c2bb?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fGJsYWNrJTIwaG9vZGllfGVufDB8fDB8fHww
Premium Zip Hoodie,Heavyweight zip-up hoodie with premium fleece lining. YKK zipper and kangaroo pockets.,1299,hoodies,20,30,30,true,Black Hoodie,Blue Slim Jeans;Premium Leather Sneakers,https://images.unsplash.com/photo-1612993744860-28255c1aee0c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8ODZ8fHByZW1pdW0lMjB6aXAlMjBob29kaWV8ZW58MHx8MHx8fDA%3D
Blue Slim Jeans,Classic slim fit blue denim jeans. Stretch denim with 5-pocket styling.,1299,bottoms,35,95,42,false,,White Sneakers;Denim Jacket;Basic White T-Shirt,https://plus.unsplash.com/premium_photo-1689371953070-10782471db47?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTd8fGJsdWUlMjBzbGltJTIwamVhbnN8ZW58MHx8MHx8fDA%3D
Cargo Joggers,Relaxed fit cargo joggers with side pockets. Elastic waistband and tapered leg.,999,bottoms,80,15,40,false,,Classic Black T-Shirt;Running Shoes;Sport Sandals,https://images.unsplash.com/photo-1602985450638-186358815cb5?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjR8fGNhcmdvJTIwam9nZ2Vyc3xlbnwwfHwwfHx8MA%3D%3D
Track Pants,Lightweight athletic track pants with zip ankles. Moisture-wicking fabric.,699,bottoms,90,12,44,false,,Running Shoes;Basic White T-Shirt;Sport Sandals,https://images.unsplash.com/photo-1589413364939-9f9fedb13e20?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTQxfHx0cmFjayUyMHBhbnRzfGVufDB8fDB8fHww
Denim Jacket,Classic rugged denim jacket with button closure. Washed finish with chest pockets.,2499,jackets,18,40,30,false,,Blue Slim Jeans;Basic White T-Shirt;White Sneakers,https://images.unsplash.com/photo-1587155471946-9e8d4d1132fa?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzR8fGRlbmltJTIwamFja2V0fGVufDB8fDB8fHww
Premium Leather Jacket,Genuine leather biker jacket with quilted lining. Asymmetric zip and snap collar.,3499,jackets,10,8,25,true,Denim Jacket,Blue Slim Jeans;Premium White T-Shirt,https://images.unsplash.com/photo-1541105672995-5da70dfff7f7?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTMwfHxwcmVtaXVtJTIwbGVhdGhlciUyMGphY2tldHxlbnwwfHwwfHx8MA%3D%3D
White Sneakers,Clean minimal casual sneakers for everyday wear. Cushioned insole and rubber outsole.,1999,shoes,25,70,35,false,,Blue Slim Jeans;Black Hoodie;Cargo Joggers,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzB8fHdoaXRlJTIwc25lYWtlcnN8ZW58MHx8MHx8fDA%3D
Premium Leather Sneakers,Handcrafted full-grain leather sneakers. Hand-stitched with memory foam insole.,2799,shoes,15,18,28,true,White Sneakers,Blue Slim Jeans;Premium Zip Hoodie,https://images.unsplash.com/photo-1727061180303-d91cdeca6f9c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fHByZW1pdW0lMjBsZWF0aGVyJTIwc25lYWtlcnN8ZW58MHx8MHx8fDA%3D
Running Shoes,Lightweight breathable running shoes with cushioned sole. Mesh upper for ventilation.,2499,shoes,30,55,36,false,,Track Pants;Cargo Joggers,https://images.unsplash.com/photo-1644055154268-758a78b62d48?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDN8fHJ1bm5pbmclMjBzaG9lc3xlbnwwfHwwfHx8MA%3D%3D
Formal Black Shoes,Polished leather oxford shoes for office and events. Leather sole with heel cushion.,2999,shoes,20,35,32,false,,Blue Slim Jeans;Denim Jacket,https://images.unsplash.com/photo-1712512343634-f64161d3daa6?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTE4fHxmb3JtYWwlMjBibGFjayUyMHNob2VzJTIwd29tZW58ZW58MHx8MHx8fDA%3D
